region,tech,vintage,capacity
NS,T_LDV_LTP_DSL_EX,2005.0,2.21307
NS,T_LDV_LTP_DSL_EX,2010.0,3.441735755077029
NS,T_LDV_LTP_DSL_EX,2015.0,4.879476659895592
NS,T_LDV_LTP_DSL_EX,2020.0,4.016712615871381
NS,T_LDV_LTP_GSL_EX,2005.0,70.08055
NS,T_LDV_LTP_GSL_EX,2010.0,88.20875535545737
NS,T_LDV_LTP_GSL_EX,2015.0,123.75665563666914
NS,T_LDV_LTP_GSL_EX,2020.0,86.81893348055276
NS,T_LDV_LTP_GSL_HEV_EX,2010.0,0.1921493283797436
NS,T_LDV_LTP_GSL_HEV_EX,2015.0,0.8986778181026019
NS,T_LDV_LTP_GSL_HEV_EX,2020.0,6.2401757706554015
NS,T_LDV_LTP_GSL_PHEV35_EX,2015.0,0.2820543184786944
NS,T_LDV_LTP_GSL_PHEV35_EX,2020.0,1.1305228785936055
NS,T_MDV_T_DSL_EX,2005.0,5.2452000000000005
NS,T_MDV_T_DSL_EX,2010.0,6.459
NS,T_MDV_T_DSL_EX,2015.0,9.505469416506692
NS,T_MDV_T_DSL_EX,2020.0,10.488962502440078
NS,T_MDV_T_GSL_EX,2005.0,3.4968000000000004
NS,T_MDV_T_GSL_EX,2010.0,4.306
NS,T_MDV_T_GSL_EX,2015.0,5.879191009940803
NS,T_MDV_T_GSL_EX,2020.0,6.847977680308191
ON,T_LDV_C_BEV150_EX,2010.0,2.0173485963230355
ON,T_LDV_C_BEV150_EX,2015.0,18.61484863160808
ON,T_LDV_C_BEV150_EX,2020.0,54.552897654009655
ON,T_LDV_C_DSL_EX,2005.0,27.540509999999998
ON,T_LDV_C_DSL_EX,2010.0,40.466311142980615
ON,T_LDV_C_DSL_EX,2015.0,9.219033232803447
ON,T_LDV_C_DSL_EX,2020.0,0.015429576316462208
ON,T_LDV_C_GSL_EX,2005.0,890.47649
ON,T_LDV_C_GSL_EX,2010.0,1302.0736905212163
ON,T_LDV_C_GSL_EX,2015.0,1226.3733728379443
ON,T_LDV_C_GSL_EX,2020.0,606.1152693632243
ON,T_LDV_C_GSL_HEV_EX,2010.0,24.369694539183676
ON,T_LDV_C_GSL_HEV_EX,2015.0,29.14826017329517
ON,T_LDV_C_GSL_HEV_EX,2020.0,48.98484313027138
ON,T_LDV_C_GSL_PHEV35_EX,2010.0,1.777955200296459
ON,T_LDV_C_GSL_PHEV35_EX,2015.0,14.796485124349065
ON,T_LDV_C_GSL_PHEV35_EX,2020.0,5.47856027617814
ON,T_HDV_T_DSL_EX,2005.0,45.243
ON,T_HDV_T_DSL_EX,2010.0,42.409000000000006
ON,T_HDV_T_DSL_EX,2015.0,59.695
ON,T_HDV_T_DSL_EX,2020.0,61.751
ON,T_LDV_LTF_DSL_EX,2005.0,11.37524
ON,T_LDV_LTF_DSL_EX,2010.0,18.46297877091188
ON,T_LDV_LTF_DSL_EX,2015.0,45.400463397074894
ON,T_LDV_LTF_DSL_EX,2020.0,63.272147752693684
ON,T_LDV_LTF_GSL_EX,2005.0,270.16195
ON,T_LDV_LTF_GSL_EX,2010.0,321.48826637684823
ON,T_LDV_LTF_GSL_EX,2015.0,489.28294444082337
ON,T_LDV_LTF_GSL_EX,2020.0,407.1189561384605
ON,T_LDV_LTF_GSL_HEV_EX,2010.0,0.069834156170377
ON,T_LDV_LTF_GSL_HEV_EX,2020.0,18.652821229195368
ON,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.8635921621017278
ON,T_LDV_LTF_GSL_PHEV35_EX,2020.0,1.43522967964396
ON,T_LDV_LTP_BEV300_EX,2010.0,0.029458788092582844
ON,T_LDV_LTP_BEV300_EX,2015.0,2.76105457087143
ON,T_LDV_LTP_BEV300_EX,2020.0,58.67890130340825
ON,T_LDV_LTP_DSL_EX,2005.0,30.651419999999998
ON,T_LDV_LTP_DSL_EX,2010.0,45.81561257909156
ON,T_LDV_LTP_DSL_EX,2015.0,71.73582840216194
ON,T_LDV_LTP_DSL_EX,2020.0,70.86301436400058
ON,T_LDV_LTP_GSL_EX,2005.0,970.6283
ON,T_LDV_LTP_GSL_EX,2010.0,1168.361953656804
ON,T_LDV_LTP_GSL_EX,2015.0,1828.71014691144
ON,T_LDV_LTP_GSL_EX,2020.0,1508.2647084782554
ON,T_LDV_LTP_GSL_HEV_EX,2010.0,2.581294011807997
ON,T_LDV_LTP_GSL_HEV_EX,2015.0,13.514902126782436
ON,T_LDV_LTP_GSL_HEV_EX,2020.0,114.35195885504613
ON,T_LDV_LTP_GSL_PHEV35_EX,2010.0,0.00950096420408512
ON,T_LDV_LTP_GSL_PHEV35_EX,2015.0,4.282067988744079
ON,T_LDV_LTP_GSL_PHEV35_EX,2020.0,21.0554169992896
ON,T_MDV_T_DSL_EX,2005.0,73.7568
ON,T_MDV_T_DSL_EX,2010.0,81.18299999999999
ON,T_MDV_T_DSL_EX,2015.0,125.42849380127011
ON,T_MDV_T_DSL_EX,2020.0,133.96946577819796
